time,latitude,longitude,co,no,so2,tp,ssr,u10,v10,skt
2018-01-02 12:00:00,28.95,76.85,2.5009454e-06,2.2912972e-09,5.097236e-08,0.0,217922.88,1.1765223,-1.3440456,284.4128
2018-01-02 12:00:00,28.95,77.6,2.7593865e-06,2.0954214e-09,4.8540286e-08,0.0,200908.38,1.9831018,-1.2707272,283.92447
2018-01-02 15:00:00,28.2,76.85,4.165322e-06,6.16605e-08,8.2902304e-08,0.0,3.5999988e-12,-0.4984743,-1.0102606,281.1405
2018-01-02 15:00:00,28.2,77.6,5.0588014e-06,6.68238e-08,9.6719944e-08,0.0,3.5999988e-12,0.25921613,-0.8552313,280.6478
2018-01-02 15:00:00,28.95,76.85,4.606804e-06,7.3533826e-08,9.7666145e-08,0.0,3.5999988e-12,0.4079588,-1.5961065,280.8277
2018-01-02 15:00:00,28.95,77.6,4.963581e-06,5.6218443e-08,9.0701164e-08,0.0,3.5999988e-12,2.1520383,-1.0587225,281.227
2018-01-02 18:00:00,28.2,76.85,5.6782965e-06,1.06117426e-07,1.2422882e-07,0.0,3.5999988e-12,0.6308486,0.029117584,279.63788
2018-01-02 18:00:00,28.2,77.6,6.887634e-06,1.1883952e-07,1.4504423e-07,0.0,3.5999988e-12,1.8254592,-1.0643883,279.365
2018-01-02 18:00:00,28.95,76.85,6.046708e-06,1.2593317e-07,1.4713031e-07,0.0,3.5999988e-12,1.0235183,-1.4398766,279.36322
2018-01-02 18:00:00,28.95,77.6,5.939213e-06,8.476757e-08,1.258193e-07,0.0,3.5999988e-12,1.4341323,-1.8458824,280.24982
2018-01-02 21:00:00,28.2,76.85,6.1210794e-06,1.1871879e-07,1.3322862e-07,0.0,3.5999988e-12,1.3923721,0.27589798,278.80472
2018-01-02 21:00:00,28.2,77.6,6.9266175e-06,1.101359e-07,1.4668245e-07,0.0,3.5999988e-12,1.8854141,-1.2894096,278.4975
2018-01-02 21:00:00,28.95,76.85,6.483335e-06,1.4476855e-07,1.4861092e-07,0.0,3.5999988e-12,1.4303665,-0.45432663,278.44724
2018-01-02 21:00:00,28.95,77.6,6.1158953e-06,8.878523e-08,1.3131633e-07,0.0,3.5999988e-12,1.6469955,-1.5588188,279.24362
2018-01-03 00:00:00,28.2,76.85,4.5115453e-06,6.163448e-08,6.370926e-08,0.0,3.5999988e-12,1.0181942,0.6207448,277.9885
2018-01-03 00:00:00,28.2,77.6,4.6552536e-06,3.4537877e-08,7.156134e-08,0.0,3.5999988e-12,1.5670986,0.2918874,277.44025
2018-01-03 00:00:00,28.95,76.85,4.5049956e-06,5.9118893e-08,6.5348026e-08,0.0,3.5999988e-12,1.4763546,0.3983022,277.83377
2018-01-03 00:00:00,28.95,77.6,4.707517e-06,4.3518256e-08,6.677012e-08,0.0,3.5999988e-12,1.6070766,-0.28547466,278.6062
2018-01-03 03:00:00,28.2,76.85,3.1832374e-06,1.7536342e-08,3.2607456e-08,0.0,288232.94,2.0708094,0.26250744,284.01562
2018-01-03 03:00:00,28.2,77.6,3.5037867e-06,9.840768e-09,3.0918365e-08,0.0,317142.94,1.813035,-0.6990099,283.99774
2018-01-03 03:00:00,28.95,76.85,3.0063313e-06,5.5248344e-09,3.1131773e-08,0.0,276644.94,1.7443094,-0.37912464,283.21173
2018-01-03 03:00:00,28.95,77.6,3.818723e-06,2.3865514e-08,3.8667228e-08,0.0,309941.94,1.5757227,-0.92654896,283.56488
2018-01-03 06:00:00,28.2,76.85,2.0270923e-06,4.0154697e-09,2.1373332e-08,0.0,1724177.0,1.137517,-1.0298643,297.2387
2018-01-03 06:00:00,28.2,77.6,2.7578985e-06,5.1944546e-09,2.8161265e-08,0.0,1765384.0,1.6646624,-1.4136381,296.0545
2018-01-03 06:00:00,28.95,76.85,2.6041848e-06,4.6090225e-09,2.4595423e-08,0.0,1725055.0,1.637105,-0.66829205,295.71057
2018-01-03 06:00:00,28.95,77.6,2.758386e-06,5.963251e-09,2.8420851e-08,0.0,1771907.0,1.999898,-1.0078306,294.06073
2018-01-03 09:00:00,28.2,76.85,1.364773e-06,1.0302676e-09,1.4938578e-08,0.0,1691445.0,1.2207727,-1.4474878,297.83167
2018-01-03 09:00:00,28.2,77.6,1.8536296e-06,1.2759456e-09,1.946848e-08,0.0,1703499.0,1.7469263,-1.6424417,296.5053
2018-01-03 09:00:00,28.95,76.85,2.0239004e-06,1.3679198e-09,1.8451452e-08,0.0,1692302.0,1.7937403,-1.6584024,296.0871
2018-01-03 09:00:00,28.95,77.6,2.0426469e-06,1.3670622e-09,2.1277344e-08,0.0,1706011.0,2.3737268,-1.636529,295.42053
2018-01-03 12:00:00,28.2,76.85,1.998535e-06,1.8134538e-09,3.9836976e-08,0.0,238988.38,1.3433981,-1.96418,284.93997
2018-01-03 12:00:00,28.2,77.6,2.5873228e-06,2.0638609e-09,4.8201315e-08,0.0,218702.88,1.9285421,-1.6379318,284.13004
2018-01-03 12:00:00,28.95,76.85,2.547224e-06,1.7582443e-09,4.696108e-08,0.0,228226.88,2.0087729,-1.8207626,283.98776
2018-01-03 12:00:00,28.95,77.6,2.730294e-06,1.6077587e-09,4.555093e-08,0.0,210431.38,2.2428427,-1.0190964,284.0065
2018-01-03 15:00:00,28.2,76.85,3.642117e-06,3.945275e-08,7.229545e-08,0.0,3.5999988e-12,1.7895708,-0.20895576,280.9199
2018-01-03 15:00:00,28.2,77.6,4.4496423e-06,4.669691e-08,8.495457e-08,0.0,3.5999988e-12,2.7660265,-0.5673542,280.54315
2018-01-03 15:00:00,28.95,76.85,4.0082286e-06,4.0807613e-08,8.272518e-08,0.0,3.5999988e-12,2.4510546,-1.1908894,280.24686
2018-01-03 15:00:00,28.95,77.6,4.168357e-06,3.096218e-08,7.7021376e-08,0.0,3.5999988e-12,2.093999,-1.0298176,280.95282
2018-01-03 18:00:00,28.2,76.85,4.4017906e-06,6.140028e-08,1.0079407e-07,0.0,3.5999988e-12,1.8829994,0.25479984,279.36072
2018-01-03 18:00:00,28.2,77.6,5.1244747e-06,6.057546e-08,1.1396093e-07,0.0,3.5999988e-12,2.070469,-1.5130835,279.14185
2018-01-03 18:00:00,28.95,76.85,4.6910777e-06,6.096684e-08,1.1297735e-07,0.0,3.5999988e-12,1.6119881,-1.6659765,278.56223
2018-01-03 18:00:00,28.95,77.6,4.783793e-06,4.285092e-08,1.0313612e-07,0.0,3.5999988e-12,1.8812447,-1.5428076,279.2808
2018-01-03 21:00:00,28.2,76.85,4.541419e-06,6.426231e-08,1.0383006e-07,0.0,3.5999988e-12,1.4777676,-0.027197838,278.11838
2018-01-03 21:00:00,28.2,77.6,4.926405e-06,4.5966722e-08,1.12407776e-07,0.0,3.5999988e-12,1.0843045,-2.3657598,277.82477
2018-01-03 21:00:00,28.95,76.85,4.74068e-06,6.43595e-08,1.045448e-07,0.0,3.5999988e-12,0.41636622,-2.2006598,277.59393
2018-01-03 21:00:00,28.95,77.6,4.781178e-06,3.841739e-08,1.0410501e-07,0.0,3.5999988e-12,1.4317776,-1.8050299,278.48248
2018-01-04 00:00:00,28.2,76.85,4.0076206e-06,3.7269437e-08,5.954873e-08,0.0,3.5999988e-12,0.96216834,-0.0433836,276.87134
2018-01-04 00:00:00,28.2,77.6,4.2542983e-06,1.990502e-08,6.2787436e-08,0.0,3.5999988e-12,1.0022684,-1.7858152,276.51172
